420
560
229171,0
106657,+
153956,B
69429,B
5819,,
122999,+
198450,:
10804,M
193861,%
47537,B
190952,W
227731,-
148590,*
57085,o
120875,W
151283,M
89259,W
184857,+
209377,@
232095,-
144199,B
81597,$
181616,o
56751,W
187830,*
102394,B
232661,=
233873,=
18706,;
163825,#
124067,o
186803,.
225732,0
68077,,
59361,$
1782,O
39943,+
232472,=
184072,+
189658,W
96610,+
22066,-
24376,=
123297,W
2477,,
38184,M
208764,*
219588,+
54793,B
48254,:
191643,@
11231,B
29745,#
37765,0
105164,0
144122,:
117047,@
87719,@
14907,M
215924,0
223065,#
176347,#
55341,B
186916,,
58606,$
23322,B
127105,B
128611,@
152881,+
161390,B
66552,#
59109,&
219506,+
96130,,
67412,#
1564,*
90072,B
143116,B
211127,O
183192,+
62935,M
227112,o
21152,B
18679,O
46248,*
153084,;
128782,&
67750,$
12378,;
60090,$
226640,+
155631,B
174223,0
172142,#
45899,M
54025,&
179246,+
189,O
146897,.
93950,B
33909,0
57939,:
161079,B
193630,;
233059,.
9805,#
171522,W
116598,B
199442,0
133085,o
130030,B
169715,*
211856,*
197346,O
15111,B
58590,:
97014,B
208020,+
54186,B
141998,%
191371,+
74712,W
31363,&
155415,&
208919,;
148074,#
231548,*
40915,B
124199,.
78903,&
83760,#
24170,o
132891,,
145135,o
133941,&
14562,O
102620,M
231991,*
217519,+
209615,:
118010,.
215575,-
196021,+
118922,B
88975,B
58610,B
78769,,
177741,M
152758,:
18303,B
137860,W
27888,W
28701,+
144755,:
43665,B
188239,o
227175,*
178113,+
73465,B
143914,B
146360,=
116619,*
13601,*
142276,B
216603,;
88463,B
199376,o
185860,O
40337,@
213076,+
104690,%
225965,+
50549,@
158151,+
140042,0
10195,+
216839,-
32854,+
33222,O
165774,@
17097,0
31910,$
150078,&
120196,*
125257,B
137107,*
17724,B
91753,$
115466,M
89433,.
167591,*
5294,;
17499,@
205486,M
197402,B
109195,B
198490,O
201374,@
21252,B
218526,*
231463,*
7321,W
32486,%
131151,M
209739,;
67499,W
104904,B
62634,+
223267,#
155405,M
199596,+
203488,*
66616,B
113736,W
177130,0
200928,;
127899,B
223059,o
82792,B
76041,B
19571,&
67145,B
220892,o
12477,O
13270,0
195340,o
214667,$
231535,=
70355,B
2014,B
83060,%
156825,B
207500,B
61449,0
147877,@
206755,.
193415,=
18999,&
105240,*
229021,*
62370,0
183136,.
45207,B
140987,o
88430,B
124709,.
108252,W
15157,+
203907,M
29366,-
31121,#
169331,0
203501,+
105393,W
221017,B
123304,B
229310,O
112863,B
216645,;
225541,+
73930,B
38071,B
117118,@
84619,$
4219,M
114416,B
227080,o
232135,*
153563,B
63938,O
12775,B
232351,*
230628,+
35194,o
212913,*
140204,@
194269,+
129438,0
95940,B
194186,+
73948,W
140853,B
196585,%
19067,;
22394,B
27011,*
85657,B
69962,B
228864,o
199388,o
122150,.
191616,*
95936,W
149047,W
57191,B
30979,O
211100,M
99799,$
176333,;
82468,M
91991,M
224142,o
197268,.
193806,,
147805,#
195319,#
9689,0
218313,0
73397,W
92034,W
29915,-
94837,B
187575,B
134042,*
158246,B
126094,.
60925,W
107647,B
220327,+
185977,:
110638,B
46642,%
1691,&
165600,o
182107,+
232691,+
64069,B
5803,=
171573,+
57690,@
206464,*
166536,;
77404,B
70901,o
131100,$
104381,$
197973,%
182431,.
39427,#
132592,,
81506,W
206080,O
42684,+
2350,*
153329,$
126909,@
1917,.
97633,&
135650,M
191222,,
30858,@
115219,.
62840,+
110538,$
215378,O
11787,B
114489,O
192481,B
91746,$
136611,B
92054,M
120638,+
152095,B
233758,+
65243,@
10942,@
149197,%
132385,:
11145,$
188661,.
157451,B
94819,B
85332,-
169118,;
203755,B
219224,o
4690,;
88782,B
155447,W
88096,$
172897,-
147272,&
65822,B
186238,0
208344,-
18419,B
100760,B
57888,B
76098,B
119802,B
119721,.
65325,B
117913,B
91453,M
144078,*
61451,0
102610,$
45267,B
150003,B
15362,:
62120,,
126228,B
44826,B
188453,-
126356,;
201549,+
77447,W
89313,o
53644,B
135777,%
162261,B
70797,O
149473,M
144022,%
212125,:
135805,B
122329,;
107355,.
137627,:
42954,&
219953,*
50097,%
142304,B
231084,;
35720,+
180055,0
88737,B
111071,B
124704,;
179136,;
155779,B
94468,B
53794,W
47298,O
25359,M
226976,*
15284,%
155504,@
213037,-
121192,B
189165,.
9385,*
33922,0
60941,B
197506,,
43282,#
104781,B
99441,.
32664,O
25017,$
132864,.
56573,M
193840,o
75019,B
60341,B
175082,.
193582,O
105278,B
226495,*
105413,B
100234,%
31956,+
75022,B
27431,B
195793,+
61962,B
206551,B
190030,0
54380,M
41018,+
82908,B
182837,%
193488,-
157581,B
64725,&
137739,$
49250,:
213966,*
65492,B
23388,o
118214,.
183866,o
28049,%
169126,+
138314,$
51728,$
167499,*
161919,0
153375,$
131580,B
31695,M
140370,;
74747,0
170590,$
98744,$
118285,&
168692,&
86221,B
210775,O
8673,*
13967,$
203072,.
91659,*
73711,*
135935,:
86538,B
153541,B
214375,,
197394,o
28334,B
191870,0
178713,O
83184,$
124782,B
58569,+
38502,B
10723,+
71665,W
121661,M
99931,B
32877,M
119754,*
181471,-
29281,*
163451,&
72534,*
35080,o
155328,+
34815,%
77662,M
173777,-
144475,M
187527,*
62709,.
212500,:
122777,#
153089,*
227172,+
2867,0
103107,&
7614,B
208489,:
188338,0
142439,:
15328,;
134451,$
129524,$
85687,B
122100,@
160927,.
105632,*
164477,O
122987,&
72241,&
82516,*
38281,%
91404,&
32708,;
21340,#
43630,B
121578,*
116464,B
161687,B
122246,%
135660,@
191134,M
193900,o
184821,&
164800,B
61191,=
111062,B
15463,W
106010,O
117843,+
55348,O
142180,@
83836,M
210682,-
205660,M
21114,B
122781,0
154827,B
193361,o
37416,W
137634,,
68788,W
206330,W
